ID_Venta,Fecha,Pais,Ciudad,Cliente,Producto,Categoria,Cantidad,Precio_Unitario,Monto_Total,Medio_Envio,Estado_Envio
1,2024-12-29,Venezuela,Caracas,Ana Perez,Escritorio,Muebles,4,66.74,266.96,Aereo,Cancelado
2,2024-09-05,Bolivia,Cochabamba,Pedro Sanchez,Teclado,Accesorios,1,1176.02,1176.02,Aereo,Entregado
3,2024-10-26,Argentina,Buenos Aires,Pedro Garcia,Auriculares,Accesorios,4,1137.66,4550.64,Maritimo,En transito
4,2024-03-04,Argentina,Cordoba,Carlos Garcia,Silla ergonomica,Muebles,5,438.93,2194.65,Maritimo,Cancelado
5,2024-08-13,Colombia,Bogota,Pedro Sanchez,Impresora,Oficina,1,426.22,426.22,Maritimo,Pendiente
6,2024-07-21,Uruguay,Montevideo,Pedro Perez,Monitor,Electronica,1,543.34,543.34,Maritimo,Pendiente
7,2024-09-19,Brasil,Sao Paulo,Lucia Lopez,Celular,Electronica,1,126.52,126.52,Terrestre,Pendiente
8,2024-12-17,Chile,Valparaiso,Laura Rodriguez,Celular,Electronica,4,972.58,3890.32,Maritimo,Cancelado
9,2024-08-02,Paraguay,Ciudad del Este,Pedro Martinez,Tablet,Electronica,1,67.11,67.11,Maritimo,Pendiente
10,2024-06-19,Brasil,Sao Paulo,Maria Martinez,Auriculares,Accesorios,1,66.48,66.48,Aereo,Entregado
11,2025-02-14,Paraguay,Ciudad del Este,Juan Garcia,Laptop,Electronica,2,1167.91,2335.82,Terrestre,Pendiente
12,2025-03-26,Colombia,Bogota,Maria Martinez,Silla ergonomica,Muebles,4,279.24,1116.96,Maritimo,En transito
13,2024-10-31,Venezuela,Maracaibo,Laura Perez,Laptop,Electronica,4,253.73,1014.92,Aereo,En transito
14,2024-06-14,Brasil,Rio de Janeiro,Carlos Lopez,Impresora,Oficina,1,92.41,92.41,Aereo,En transito
15,2024-07-07,Brasil,Rio de Janeiro,Juan Martinez,Celular,Electronica,1,787.97,787.97,Aereo,Cancelado
16,2024-10-27,Brasil,Brasilia,Juan Sanchez,Celular,Electronica,1,982.18,982.18,Aereo,Cancelado
17,2024-05-23,Bolivia,Santa Cruz,Laura Rodriguez,Monitor,Electronica,2,277.64,555.28,Aereo,Entregado
18,2024-06-23,Peru,Arequipa,Laura Rodriguez,Tablet,Electronica,3,734.62,2203.86,Aereo,Cancelado
19,2024-02-27,Peru,Cusco,Luis Martinez,Laptop,Electronica,1,431.73,431.73,Aereo,Cancelado
20,2024-12-31,Argentina,Buenos Aires,Laura Garcia,Impresora,Oficina,1,107.44,107.44,Aereo,En transito
21,2024-06-25,Bolivia,Santa Cruz,Lucia Garcia,Auriculares,Accesorios,2,988.23,1976.46,Maritimo,Cancelado
22,2024-12-17,Ecuador,Quito,Luis Garcia,Tablet,Electronica,2,54.21,108.42,Terrestre,Cancelado
23,2024-10-13,Venezuela,Maracaibo,Carlos Martinez,Escritorio,Muebles,5,490.24,2451.2,Maritimo,Entregado
24,2024-07-30,Paraguay,Ciudad del Este,Juan Perez,Celular,Electronica,3,671.44,2014.32,Aereo,En transito
25,2024-12-28,Paraguay,Asuncion,Juan Martinez,Impresora,Oficina,4,910.53,3642.12,Terrestre,Entregado
26,2024-11-18,Chile,Santiago,Luis Lopez,Impresora,Oficina,4,268.58,1074.32,Aereo,Entregado
27,2024-06-16,Bolivia,Cochabamba,Juan Sanchez,Camara,Electronica,4,469.23,1876.92,Terrestre,En transito
28,2024-03-24,Peru,Lima,Pedro Martinez,Teclado,Accesorios,2,681.3,1362.6,Terrestre,En transito
29,2024-10-25,Bolivia,La Paz,Pedro Martinez,Teclado,Accesorios,3,739.52,2218.56,Aereo,Cancelado
30,2025-03-26,Venezuela,Caracas,Ana Perez,Silla ergonomica,Muebles,4,217.11,868.44,Aereo,En transito
31,2024-10-23,Chile,Santiago,Carlos Lopez,Monitor,Electronica,1,160.24,160.24,Aereo,Pendiente
32,2024-04-19,Argentina,Cordoba,Pedro Perez,Teclado,Accesorios,4,422.09,1688.36,Terrestre,Pendiente
33,2024-10-02,Brasil,Rio de Janeiro,Carlos Garcia,Camara,Electronica,3,772.19,2316.57,Terrestre,Cancelado
34,2024-03-28,Peru,Arequipa,Ana Garcia,Monitor,Electronica,4,149.21,596.84,Terrestre,Entregado
35,2024-12-23,Venezuela,Valencia,Laura Garcia,Escritorio,Muebles,1,656.4,656.4,Terrestre,Entregado
36,2025-01-07,Uruguay,Salto,Pedro Perez,Impresora,Oficina,3,676.24,2028.72,Maritimo,Pendiente
37,2024-03-22,Brasil,Sao Paulo,Carlos Martinez,Impresora,Oficina,2,256.89,513.78,Terrestre,Pendiente
38,2025-01-30,Uruguay,Paysandu,Luis Garcia,Celular,Electronica,3,424.17,1272.51,Terrestre,Cancelado
39,2024-03-07,Ecuador,Quito,Carlos Perez,Tablet,Electronica,3,59.03,177.09,Maritimo,En transito
40,2024-11-07,Argentina,Rosario,Pedro Garcia,Silla ergonomica,Muebles,3,143.33,429.99,Aereo,En transito
41,2025-01-23,Peru,Lima,Carlos Lopez,Escritorio,Muebles,5,297.66,1488.3,Aereo,Entregado
42,2024-09-11,Peru,Cusco,Carlos Perez,Impresora,Oficina,3,95.65,286.95,Terrestre,Pendiente
43,2025-03-26,Venezuela,Caracas,Maria Sanchez,Camara,Electronica,2,113.75,227.5,Maritimo,Cancelado
44,2024-01-31,Colombia,Bogota,Carlos Perez,Monitor,Electronica,4,151.54,606.16,Terrestre,Pendiente
45,2024-08-30,Peru,Arequipa,Lucia Martinez,Auriculares,Accesorios,3,566.17,1698.51,Aereo,Entregado
46,2024-10-18,Chile,Santiago,Luis Lopez,Celular,Electronica,5,552.5,2762.5,Maritimo,Entregado
47,2024-02-03,Peru,Lima,Lucia Perez,Impresora,Oficina,3,777.31,2331.93,Aereo,Entregado
48,2025-03-06,Peru,Cusco,Laura Garcia,Auriculares,Accesorios,4,440.67,1762.68,Maritimo,Cancelado
49,2024-03-22,Bolivia,La Paz,Ana Rodriguez,Auriculares,Accesorios,2,323.83,647.66,Maritimo,Pendiente
50,2024-01-27,Venezuela,Valencia,Laura Sanchez,Teclado,Accesorios,1,1014.77,1014.77,Maritimo,Cancelado
51,2025-01-18,Argentina,Cordoba,Pedro Lopez,Impresora,Oficina,3,262.13,786.39,Aereo,Entregado
52,2024-11-02,Brasil,Rio de Janeiro,Lucia Lopez,Teclado,Accesorios,5,1144.18,5720.9,Terrestre,Pendiente
53,2024-09-21,Uruguay,Montevideo,Pedro Garcia,Laptop,Electronica,2,757.7,1515.4,Terrestre,Cancelado
54,2025-03-08,Ecuador,Guayaquil,Juan Rodriguez,Auriculares,Accesorios,1,451,451,Aereo,En transito
55,2025-02-24,Bolivia,La Paz,Ana Martinez,Silla ergonomica,Muebles,5,896.93,4484.65,Aereo,Entregado
56,2024-02-12,Venezuela,Maracaibo,Maria Martinez,Monitor,Electronica,1,171.66,171.66,Aereo,Entregado
57,2024-05-13,Peru,Cusco,Lucia Lopez,Camara,Electronica,2,632.83,1265.66,Aereo,Pendiente
58,2024-05-30,Argentina,Rosario,Juan Perez,Auriculares,Accesorios,4,790.31,3161.24,Aereo,Cancelado
59,2024-07-04,Ecuador,Quito,Maria Garcia,Teclado,Accesorios,1,967.9,967.9,Aereo,En transito
60,2024-06-18,Uruguay,Montevideo,Pedro Lopez,Auriculares,Accesorios,4,1166.91,4667.64,Aereo,Cancelado
61,2024-12-03,Argentina,Cordoba,Laura Sanchez,Monitor,Electronica,1,1184.65,1184.65,Aereo,Cancelado
62,2024-01-16,Ecuador,Guayaquil,Laura Martinez,Tablet,Electronica,5,778.04,3890.2,Maritimo,Pendiente
63,2024-11-05,Bolivia,La Paz,Luis Lopez,Tablet,Electronica,4,1090.29,4361.16,Aereo,En transito
64,2024-09-07,Venezuela,Maracaibo,Maria Martinez,Laptop,Electronica,1,1010.59,1010.59,Terrestre,Pendiente
65,2024-11-30,Peru,Cusco,Juan Martinez,Silla ergonomica,Muebles,4,212.09,848.36,Terrestre,Cancelado
66,2024-03-13,Brasil,Rio de Janeiro,Juan Martinez,Monitor,Electronica,5,309.02,1545.1,Terrestre,En transito
67,2024-07-22,Colombia,Cali,Maria Garcia,Celular,Electronica,3,1086.91,3260.73,Aereo,En transito
68,2024-05-14,Colombia,Medellin,Carlos Sanchez,Silla ergonomica,Muebles,4,1014.16,4056.64,Aereo,En transito
69,2025-02-28,Ecuador,Quito,Pedro Garcia,Laptop,Electronica,2,332.3,664.6,Aereo,Entregado
70,2025-01-19,Argentina,Rosario,Laura Sanchez,Silla ergonomica,Muebles,5,813.84,4069.2,Aereo,En transito
71,2025-02-21,Bolivia,Santa Cruz,Ana Lopez,Camara,Electronica,1,565.99,565.99,Aereo,Entregado
72,2024-09-13,Bolivia,Santa Cruz,Maria Perez,Escritorio,Muebles,1,702.52,702.52,Aereo,En transito
73,2024-03-18,Argentina,Rosario,Ana Sanchez,Impresora,Oficina,5,34.31,171.55,Aereo,Cancelado
74,2024-02-15,Uruguay,Montevideo,Juan Perez,Impresora,Oficina,1,411.43,411.43,Terrestre,Entregado
75,2024-07-26,Peru,Cusco,Juan Rodriguez,Teclado,Accesorios,3,301.86,905.58,Aereo,Entregado
76,2024-02-15,Bolivia,Cochabamba,Maria Garcia,Laptop,Electronica,1,767.33,767.33,Aereo,Pendiente
77,2025-01-13,Venezuela,Caracas,Laura Martinez,Teclado,Accesorios,1,35.47,35.47,Aereo,Pendiente
78,2024-06-18,Brasil,Sao Paulo,Juan Martinez,Escritorio,Muebles,5,484.26,2421.3,Aereo,En transito
79,2024-07-04,Peru,Cusco,Laura Rodriguez,Impresora,Oficina,1,517.02,517.02,Aereo,Pendiente
80,2024-10-30,Venezuela,Caracas,Ana Perez,Auriculares,Accesorios,2,553.42,1106.84,Maritimo,Entregado
81,2024-10-19,Uruguay,Montevideo,Pedro Sanchez,Laptop,Electronica,2,967.58,1935.16,Aereo,Pendiente
82,2024-08-02,Venezuela,Maracaibo,Luis Rodriguez,Celular,Electronica,2,416.39,832.78,Aereo,Entregado
83,2024-06-19,Uruguay,Montevideo,Ana Perez,Teclado,Accesorios,1,564.89,564.89,Maritimo,Entregado
84,2025-03-07,Colombia,Medellin,Luis Martinez,Camara,Electronica,3,1144.82,3434.46,Maritimo,En transito
85,2024-10-01,Ecuador,Quito,Pedro Rodriguez,Tablet,Electronica,1,578.07,578.07,Maritimo,Pendiente
86,2024-09-19,Chile,Santiago,Juan Lopez,Celular,Electronica,1,123.74,123.74,Aereo,Pendiente
87,2025-03-01,Venezuela,Maracaibo,Maria Martinez,Monitor,Electronica,4,584.53,2338.12,Maritimo,En transito
88,2024-11-11,Uruguay,Paysandu,Juan Garcia,Celular,Electronica,2,125.45,250.9,Maritimo,En transito
89,2024-09-27,Colombia,Cali,Ana Martinez,Impresora,Oficina,5,1162.73,5813.65,Maritimo,Entregado
90,2024-05-19,Peru,Lima,Maria Rodriguez,Auriculares,Accesorios,4,682.56,2730.24,Terrestre,En transito
91,2025-01-03,Paraguay,Ciudad del Este,Laura Rodriguez,Tablet,Electronica,3,564.61,1693.83,Aereo,En transito
92,2024-05-17,Uruguay,Salto,Maria Garcia,Teclado,Accesorios,4,944.07,3776.28,Aereo,Cancelado
93,2024-04-16,Venezuela,Valencia,Maria Perez,Camara,Electronica,4,287.86,1151.44,Maritimo,Pendiente
94,2024-03-25,Paraguay,Ciudad del Este,Luis Lopez,Teclado,Accesorios,4,381.26,1525.04,Aereo,En transito
95,2025-02-04,Uruguay,Paysandu,Juan Garcia,Escritorio,Muebles,1,543.99,543.99,Terrestre,En transito
96,2025-01-12,Chile,Santiago,Luis Martinez,Silla ergonomica,Muebles,1,723.41,723.41,Aereo,Entregado
97,2024-09-21,Colombia,Medellin,Laura Rodriguez,Celular,Electronica,1,483.83,483.83,Terrestre,Pendiente
98,2024-06-07,Paraguay,Ciudad del Este,Lucia Perez,Tablet,Electronica,4,370.69,1482.76,Maritimo,En transito
99,2024-09-01,Venezuela,Caracas,Ana Sanchez,Camara,Electronica,4,483.29,1933.16,Aereo,Entregado
100,2024-03-27,Bolivia,Santa Cruz,Juan Lopez,Laptop,Electronica,3,339.56,1018.68,Maritimo,Cancelado
101,2024-03-15,Uruguay,Montevideo,Luis Lopez,Celular,Electronica,2,378.87,757.74,Terrestre,Entregado
102,2024-05-02,Argentina,Cordoba,Ana Garcia,Laptop,Electronica,5,977.65,4888.25,Aereo,Pendiente
103,2024-04-09,Brasil,Rio de Janeiro,Luis Sanchez,Laptop,Electronica,4,1072.49,4289.96,Terrestre,Entregado
104,2024-05-05,Ecuador,Cuenca,Pedro Sanchez,Monitor,Electronica,1,295.49,295.49,Aereo,Cancelado
105,2024-12-17,Peru,Lima,Pedro Lopez,Silla ergonomica,Muebles,3,733.92,2201.76,Terrestre,En transito
106,2024-03-05,Colombia,Bogota,Lucia Martinez,Impresora,Oficina,5,559.94,2799.7,Terrestre,Cancelado
107,2024-03-15,Colombia,Cali,Maria Perez,Escritorio,Muebles,1,89.41,89.41,Aereo,Entregado
108,2024-08-02,Chile,Concepcion,Ana Lopez,Silla ergonomica,Muebles,2,726.03,1452.06,Terrestre,En transito
109,2024-07-23,Colombia,Cali,Ana Martinez,Silla ergonomica,Muebles,1,101.38,101.38,Terrestre,Entregado
110,2024-08-26,Brasil,Brasilia,Laura Garcia,Laptop,Electronica,2,352.48,704.96,Terrestre,Pendiente
111,2024-07-20,Venezuela,Caracas,Carlos Rodriguez,Escritorio,Muebles,5,387.84,1939.2,Terrestre,Entregado
112,2024-05-20,Argentina,Buenos Aires,Juan Rodriguez,Camara,Electronica,2,94.41,188.82,Maritimo,Entregado
113,2024-09-12,Ecuador,Cuenca,Lucia Lopez,Impresora,Oficina,5,588.31,2941.55,Terrestre,En transito
114,2025-02-08,Paraguay,Encarnacion,Maria Martinez,Silla ergonomica,Muebles,5,710.17,3550.85,Aereo,Cancelado
115,2024-12-12,Bolivia,La Paz,Lucia Sanchez,Celular,Electronica,4,28.49,113.96,Terrestre,Pendiente
116,2024-07-15,Chile,Santiago,Lucia Lopez,Escritorio,Muebles,3,706.41,2119.23,Aereo,En transito
117,2024-01-09,Paraguay,Ciudad del Este,Lucia Martinez,Monitor,Electronica,3,709.86,2129.58,Terrestre,Cancelado
118,2024-09-11,Chile,Santiago,Juan Martinez,Camara,Electronica,2,50.58,101.16,Maritimo,Pendiente
119,2024-05-29,Brasil,Brasilia,Laura Sanchez,Camara,Electronica,2,139.82,279.64,Aereo,Cancelado
120,2024-04-23,Brasil,Rio de Janeiro,Carlos Sanchez,Escritorio,Muebles,2,73.44,146.88,Aereo,Cancelado
121,2024-01-25,Brasil,Sao Paulo,Pedro Sanchez,Monitor,Electronica,3,891.94,2675.82,Terrestre,Cancelado
122,2024-12-31,Peru,Cusco,Lucia Martinez,Impresora,Oficina,2,938.67,1877.34,Terrestre,Entregado
123,2024-08-30,Peru,Lima,Luis Lopez,Camara,Electronica,3,888.7,2666.1,Maritimo,Cancelado
124,2024-03-13,Paraguay,Encarnacion,Carlos Sanchez,Auriculares,Accesorios,3,39.03,117.09,Aereo,Pendiente
125,2025-01-17,Bolivia,Santa Cruz,Luis Garcia,Tablet,Electronica,2,778.74,1557.48,Aereo,Pendiente
126,2024-08-19,Bolivia,Santa Cruz,Lucia Garcia,Silla ergonomica,Muebles,2,928.82,1857.64,Terrestre,Entregado
127,2024-11-03,Chile,Santiago,Laura Rodriguez,Celular,Electronica,2,658.84,1317.68,Aereo,Cancelado
128,2024-08-15,Argentina,Cordoba,Laura Sanchez,Teclado,Accesorios,3,979.93,2939.79,Terrestre,Pendiente
